Jurisdiction,County,SBCAG Region,Year,Prior APN,APN,Street Address,Project Name,Tracking ID,Type,Tenure,Very Low Income (DR) Entitlements,Very Low Income (NDR) Entitlements,Very Low Income Entitlements,Low Income (DR) Entitlements,Low Income (NDR) Entitlements,Low Income Entitlements,Moderate Income (DR) Entitlements,Moderate Income (NDR) Entitlements,Moderate Income Entitlements,Above Moderate Income Entitlements,Total Entitlements,Very Low Income Building Permits (DR),Very Low Income Building Permits (NDR),Very Low Income Building Permits,Low Income (DR) Building Permits,Low Income (NDR) Building Permits,Low Income Building Permits,Moderate Income (DR) Building Permits,Moderate Income (NDR) Building Permits,Moderate Income Building Permits,Above Moderate Income Building Permits,Building Permit Issue Date,Total Number of Building Permits,Very Low Income Cert. of Occupancy (DR),Very Low Income Cert. of Occupancy (NDR),Very Low Income Cert. of Occupancy,Low Income (DR) Cert. of Occupancy,Low Income (NDR) Cert. of Occupancy,Low Income Cert. of Occupancy,Moderate Income (DR) Cert. of Occupancy,Moderate Income (NDR) Cert. of Occupancy,Moderate Income Cert. of Occupancy,Above Moderate Income  Cert. of Occupancy,Cert. of Occupancy Issue Date,Total Number of Units Issued Cert. of Occupancy,Extremely Low Income Units,Contains Extremely Low Income Units,Approved Using SB 35,Infill Units,Project Income Level (Detailed),Project Income Level,Deed Restricted
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,069-204-007,"1225 CAMINO PALOMERA, SANTA BARBARA, CA 93111",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-05-03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,011-110-037,"1505 LAS TUNAS RD B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-01-16,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,009-122-016,"253 OAK RD, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-05-14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,011-160-038,"1155 DULZURA DR B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-04-17,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,009-430-006,"1490 WYANT RD B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-02-01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,007-120-036,"640 RANDALL RD B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-01-25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,007-280-029,"315 AVILA WAY, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-16,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,009-710-019,"461 SAN YSIDRO RD B, MONTECITO, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-08-22,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,011-171-008,"1284 EAST VALLEY RD, UNIT# B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-01-03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,007-400-036,"1930 BOUNDARY DR, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-08-16,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,009-021-019,"482 WOODLEY RD B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-06-04,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,009-080-028,"1415 SCHOOL HOUSE RD B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-04-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,013-180-001,"2200 SYCAMORE CANYON RD B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-04-17,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,013-112-017,"903 CHELHAM WAY, UNIT# B, SANTA BARBARA, CA 93108",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-05-15,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,141-211-062,"2950 MISSION DR 66, SOLVANG, CA 93463",,,Mobile Home Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,141-211-062,"2950 MISSION DR 62, SOLVANG, CA 93463",,,Mobile Home Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,141-211-062,"2950 MISSION DR 63, SOLVANG, CA 93463",,,Mobile Home Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,141-211-062,"2950 MISSION DR 61, SOLVANG, CA 93463",,,Mobile Home Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,141-211-062,"2950 MISSION DR 64, SOLVANG, CA 93463",,,Mobile Home Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,141-211-062,"2950 MISSION DR 65, SOLVANG, CA 93463",,,Mobile Home Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-03-13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,099-600-047,"1224 HAGER LN, BUELLTON, CA 93427",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-06-14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,135-020-054,"3161 FOXEN CANYON RD, SANTA YNEZ, CA 93441",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-10-10,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,083-680-032,"82 HOLLISTER RANCH, SANTA BARBARA, CA",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-05-15,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,101-020-069,"7351 GRACIOSA RD, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-05-07,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,135-051-027,"2600 CALZADA AVE, SANTA YNEZ, CA 93460",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-08-06,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2018,,141-300-050,"3903 ROBIN MEADOW RD, SANTA YNEZ, CA 93460",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-06-27,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2018,,001-020-038,"5424 FOOTHILL RD, CARPINTERIA, CA 93013",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2018-10-09,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
