Place,Household Income ,Cost Burden >30%,Cost Burden >50%,Total Households,Cost Burden >30% (Renter),Cost Burden >50% (Renter),Renter Total,Cost Burden >30% (Owner),Cost Burden >50% (Owner),Owner Total,% Cost Burdened Owners,% Severely Cost Burdened Owners,% Rent Burdened,% Severely Rent Burdened,Year
"Ballard CDP, California",<30% HAMFI,14,10,25,4,4,10,8,4,15,56%,40%,40%,40%,2017
"Ballard CDP, California",30-50% HAMFI,40,30,39,4,0,4,34,30,35,100%,77%,100%,0%,2018
"Ballard CDP, California",50-80% HAMFI,30,0,34,30,0,30,0,0,4,88%,0%,100%,0%,2019
"Ballard CDP, California",80-100% HAMFI,20,10,20,10,0,10,14,10,10,100%,50%,100%,0%,2020
"Ballard CDP, California",>100% HAMFI,30,15,180,10,0,45,19,15,135,17%,8%,22%,0%,2021
"Buellton city, California",<30% HAMFI,90,90,115,75,5,75,20,20,40,78%,78%,100%,7%,2017
"Buellton city, California",30-50% HAMFI,60,50,120,10,10,10,50,40,110,50%,42%,100%,100%,2018
"Buellton city, California",50-80% HAMFI,235,60,455,145,60,140,95,0,315,52%,13%,100%,43%,2019
"Buellton city, California",80-100% HAMFI,75,10,160,35,0,35,35,10,125,47%,6%,100%,0%,2020
"Buellton city, California",>100% HAMFI,165,0,1075,10,0,340,155,0,735,15%,0%,3%,0%,2021
"Carpinteria city, California",<30% HAMFI,470,435,535,260,245,290,210,190,245,88%,81%,90%,84%,2017
"Carpinteria city, California",30-50% HAMFI,415,285,515,220,135,255,195,150,260,81%,55%,86%,53%,2018
"Carpinteria city, California",50-80% HAMFI,655,290,945,485,260,570,170,30,375,69%,31%,85%,46%,2019
"Carpinteria city, California",80-100% HAMFI,315,70,545,265,70,360,50,0,185,58%,13%,74%,19%,2020
"Carpinteria city, California",>100% HAMFI,430,125,2425,75,0,760,355,125,1665,18%,5%,10%,0%,2021
"Casmalia CDP, California",<30% HAMFI,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,2017
"Casmalia CDP, California",30-50% HAMFI,0,0,20,0,0,20,0,0,0,0%,0%,0%,0%,2018
"Casmalia CDP, California",50-80% HAMFI,0,0,10,0,0,0,0,0,10,0%,0%,0%,0%,2019
"Casmalia CDP, California",80-100% HAMFI,0,0,10,0,0,0,0,0,10,0%,0%,0%,0%,2020
"Casmalia CDP, California",>100% HAMFI,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,2021
"Cuyama CDP, California",<30% HAMFI,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,2017
"Cuyama CDP, California",30-50% HAMFI,0,0,4,0,0,0,0,0,4,0%,0%,0%,0%,2018
"Cuyama CDP, California",50-80% HAMFI,0,0,4,0,0,0,0,0,4,0%,0%,0%,0%,2019
"Cuyama CDP, California",80-100% HAMFI,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,2020
"Cuyama CDP, California",>100% HAMFI,0,0,4,0,0,0,0,0,4,0%,0%,0%,0%,2021
"Eastern Goleta Valley CDP, California",<30% HAMFI,620,525,720,275,230,310,345,295,410,86%,73%,89%,74%,2017
"Eastern Goleta Valley CDP, California",30-50% HAMFI,535,255,805,195,135,270,335,120,535,66%,32%,72%,50%,2018
"Eastern Goleta Valley CDP, California",50-80% HAMFI,465,260,1035,255,140,370,205,120,665,45%,25%,69%,38%,2019
"Eastern Goleta Valley CDP, California",80-100% HAMFI,220,100,635,90,35,185,130,65,450,35%,16%,49%,19%,2020
"Eastern Goleta Valley CDP, California",>100% HAMFI,1455,240,7080,415,0,1615,1040,240,5465,21%,3%,26%,0%,2021
"Garey CDP, California",<30% HAMFI,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,2017
"Garey CDP, California",30-50% HAMFI,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,2018
"Garey CDP, California",50-80% HAMFI,0,0,4,0,0,0,0,0,4,0%,0%,0%,0%,2019
"Garey CDP, California",80-100% HAMFI,0,0,4,0,0,0,0,0,4,0%,0%,0%,0%,2020
"Garey CDP, California",>100% HAMFI,0,0,15,0,0,0,0,0,15,0%,0%,0%,0%,2021
"Goleta city, California",<30% HAMFI,830,750,1090,560,540,720,275,210,370,76%,69%,78%,75%,2017
"Goleta city, California",30-50% HAMFI,590,440,710,370,345,420,225,100,290,83%,62%,88%,82%,2018
"Goleta city, California",50-80% HAMFI,1130,425,1860,900,290,1230,230,135,630,61%,23%,73%,24%,2019
"Goleta city, California",80-100% HAMFI,690,125,1155,520,105,850,170,20,305,60%,11%,61%,12%,2020
"Goleta city, California",>100% HAMFI,970,90,6775,225,25,2355,745,65,4420,14%,1%,10%,1%,2021
"Guadalupe city, California",<30% HAMFI,440,330,550,335,225,380,105,105,170,80%,60%,88%,59%,2017
"Guadalupe city, California",30-50% HAMFI,80,15,240,65,0,135,15,15,105,33%,6%,48%,0%,2018
"Guadalupe city, California",50-80% HAMFI,149,4,575,75,0,275,4,4,300,26%,1%,27%,0%,2019
"Guadalupe city, California",80-100% HAMFI,20,0,125,0,0,75,0,0,50,16%,0%,0%,0%,2020
"Guadalupe city, California",>100% HAMFI,4,0,565,4,0,125,0,0,440,1%,0%,3%,0%,2021
