Place,RHNA Cycle,VLI Allocation,VLI Units Generated,VLI Gap,LI Allocation,LI Units Generated,LI Gap,MI Allocation,MI Units Generated,MI Gap,AMI Allocation,AMI Units Generated,AMI Gap,Total Generated,Total Allocated,Minimum,Share Above Moderate,IMS
Carpinteria,5th,39,66,0,26,21,5,34,2,32,64,151,0,240,163,0,0.629166667,1.562916667
Santa Barbara,5th,962,121,841,701,149,552,820,16,804,1617,1769,0,2055,4100,0,0.860827251,670.2860827
Goleta,5th,235,85,150,157,127,30,174,29,145,413,1205,0,1446,979,0,0.833333333,99.08333333
Solvang,5th,42,36,6,28,14,14,30,1,29,75,98,0,149,175,0,0.657718121,7.865771812
Buellton,5th,66,38,28,44,19,25,41,123,0,124,143,0,323,275,0,0.442724458,24.34427245
Lompoc ,5th,126,0,126,84,0,84,95,49,46,221,20,201,69,526,0,0.289855072,100.8289855
Santa Maria  ,5th,985,193,792,656,2191,0,730,785,0,1731,1153,578,4322,4102,0,0.266774641,475.2266775
Guadalupe,5th,12,60,0,8,20,0,13,92,0,16,198,0,370,49,0,0.535135135,0.053513514
Buellton,6th,55,140,0,37,45,0,30,5,25,43,3,40,193,165,0,0.015544041,0.001554404
Carpinteria,6th,286,4,282,132,4,128,135,0,135,348,44,304,52,901,0,0.846153846,207.6846154
Goleta,6th,682,27,655,324,21,303,370,2,368,461,10,451,60,1837,0,0.166666667,483.9166667
Guadalupe,6th,3,0,3,24,0,24,77,75,2,327,46,281,121,431,0,0.380165289,9.038016529
Lompoc ,6th,166,1,165,262,14,248,311,0,311,1509,51,1458,66,2248,0,0.772727273,173.4772727
North County,6th,1875,142,1733,1141,1110,31,1400,99,1301,5559,440,5119,1791,9975,0,0.245672808,1049.124567
North Uninc.,6th,564,0,564,243,201,42,229,19,210,486,224,262,444,1522,0,0.504504505,351.0504505
Santa Barbara,6th,2147,5,2142,1381,82,1299,1441,2,1439,3032,338,2694,427,8001,0,0.791569087,1674.979157
Santa Maria  ,6th,1032,0,1032,536,850,0,731,0,731,3119,86,3033,936,5418,0,0.091880342,619.209188
Solvang,6th,55,1,54,39,0,39,22,0,22,75,30,45,31,191,0,0.967741935,44.19677419
South County,6th,3924,39,3885,2794,113,2681,2997,7,2990,5166,578,4588,737,14881,0,0.784260516,3135.378426
South Uninc.,6th,809,3,806,957,6,951,1051,3,1048,1325,186,1139,198,4142,0,0.939393939,768.9939394
Unincorporated County,6th,1373,3,1370,1200,207,993,1280,22,1258,1811,410,1401,642,5664,0,0.638629283,1119.963863
