Place,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration
"Ballard CDP, California",36,8,51,0,10,0,10,44,38,47,12,23,15
"Buellton city, California",86,188,177,0,219,137,83,71,186,970,407,81,331
"Carpinteria city, California",487,529,634,125,547,158,218,304,"1,128","1,618",345,423,201
"Casmalia CDP, California",30,0,0,0,0,0,0,0,0,0,0,0,0
"Cuyama CDP, California",0,3,0,0,3,0,0,0,0,8,4,0,0
"Eastern Goleta Valley CDP, California",149,"1,128","1,001",165,"1,316",446,426,856,"2,032","3,498",945,593,587
"Garey CDP, California",0,3,0,0,3,8,0,0,0,1,4,3,0
"Goleta city, California",137,747,"1,733",268,"1,438",972,530,"1,057","2,866","5,453","1,421",978,459
"Guadalupe city, California",805,251,293,142,227,80,11,186,251,601,74,150,106
"Isla Vista CDP, California",10,115,229,12,872,199,242,37,355,"2,183","1,986",228,156
"Lompoc city, California","1,120","1,349","1,532",151,"2,317",774,109,340,"2,266","3,494","2,489",771,"1,453"
"Los Alamos CDP, California",0,30,88,0,99,0,0,16,36,15,23,74,0
"Los Olivos CDP, California",7,41,67,0,52,9,25,0,57,92,10,27,19
"Mission Canyon CDP, California",26,12,205,31,137,62,27,33,175,180,168,44,32
"Mission Hills CDP, California",18,87,110,117,91,0,45,150,239,474,293,57,107
"Montecito CDP, California",32,185,131,58,180,64,98,450,681,960,314,193,3
"New Cuyama CDP, California",47,27,23,0,9,2,0,4,16,31,25,10,2
"Orcutt CDP, California",665,"1,651","1,143",165,"1,564",548,78,895,"1,125","3,174","1,416",691,994
"Santa Barbara city, California",365,"2,618","2,530","1,018","4,431","1,300","1,175","2,797","9,199","10,456","6,618","2,304","1,392"
"Santa Maria city, California","11,314","3,798","3,184","1,394","4,802","2,302",484,"1,180","3,582","8,707","4,205","1,793","2,231"
"Santa Ynez CDP, California",157,142,157,0,156,79,133,256,422,242,172,151,100
"Sisquoc CDP, California",9,10,0,0,0,6,0,4,9,11,23,3,3
"Solvang city, California",71,249,393,26,388,70,130,191,319,388,450,288,154
"Summerland CDP, California",0,90,35,0,53,0,0,10,126,98,70,43,0
"Toro Canyon CDP, California",6,13,26,143,13,0,37,52,293,170,42,0,0
"University of California-Santa Barbara CDP, California",61,23,67,18,249,62,70,23,245,"2,634",939,120,25
"Vandenberg AFB CDP, California",6,37,29,0,84,10,15,16,55,188,89,17,32
"Vandenberg Village CDP, California",66,366,392,86,245,124,30,87,279,694,211,128,319
"Santa Barbara County, California",16738.00,14149.00,14798.00,4015.00,19881.00,7565.00,3999.00,9404.00,26845.00,47672.00,23258.00,9668.00,8985.00
Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA,11647,5192,4210,1344,5893,2482,546,1965,4296,10909,5273,2532,3047
"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA",3584,3469,3937,839,4757,1860,647,1714,5225,9111,5067,2201,3087
Santa Barbara County--South Coast Region PUMA,1507,5488,6651,1832,9231,3223,2806,5725,17324,27652,12918,4935,2851
North County (Santa Maria/Orcutt + Lompoc/Guadalupe/Solvang/Buellton PUMAs),15231,8661,8147,2183,10650,4342,1193,3679,9521,20020,10340,4733,6134
South Coast (PUMA),1507,5488,6651,1832,9231,3223,2806,5725,17324,27652,12918,4935,2851
